Data are continuously updated and reviewed.
The format of this file is as follows:
POS.  1-8   = Date CCYYMMDD
19970902       3.1     1
19970903      27.2     1
19970904       0.0     1
19970905       0.0     1
19970906       3.5     1
19970907       0.0     1
19970908       0.0     1
19970909       0.0     1
19970910       0.0     1
19970911       0.0     1
19970912       0.0     1
19970913       0.0     1
19970914       0.0     1
19970915       0.0     1
19970916       0.0     1
19970917       0.0     1
19970918       0.0     1
19970919       2.5     1
19970920       0.0     1
19970921       0.0     1
19970922       0.0     1
19970923       0.0     1
19970924       0.0     1
19970925       0.0     1
19970926       0.0     1
19970927       0.0     1
19970928       3.8     1
19970929       0.0     1
19970930       0.0     1
19971001       0.0     1
19971002       0.0     1
19971003       0.0     1
19971004      19.0     1
19971005       0.0     1
19971006       5.5     1
19971007       0.0     1
19971008       0.0     1
19971009       0.0     1
19971010       2.5     1
19971011       0.0     1
19971012       0.0     1
19971013       0.0     1
19971014       0.0     1
19971015       0.0     1
19971016       0.0     1
19971017       0.0     1
19971018       0.0     1
19971019       0.0     1
19971020       0.0     1
19971021       0.0     1
19971022       0.0     1
19971023       0.0     1
19971024       0.0     1
19971025       0.0     1
19971026      15.5     1
19971027       0.0     1
19971028       0.0     1
19971029       0.0     1
19971030       0.0     1
19971031       0.0     1
19971101       0.0     1
19971102       0.0     1
19971103       0.0     1
19971104       1.5     1
19971105       2.0     1
19971106       0.0     1
19971107       0.0     1
19971108      10.8     1
19971109       8.4     1
19971110       0.0     1
19971111       0.0     1
19971112       0.0     1
19971113       0.0     1
19971114       0.0     1
19971115      10.5     1
19971116      24.0     1
19971117       0.3     1
19971118       0.0     1
19971119       0.0     1
19971120      32.0     1
19971121      18.0     1
19971122      14.5     1
19971123      27.0     1
19971124       0.0     1
19971125       0.0     1
19971126       0.0     1
19971127       0.0     1
19971128       0.0     1
19971129       0.0     1
19971130       0.0     1
19971201       2.0     1
19971202       7.2     1
19971203       4.5     1
19971204       0.0     1
19971205       5.5     1
19971206       0.0     1
19971207       0.0     1
19971208       0.0     1
19971209       0.0     1
19971210       0.0     1
19971211       0.0     1
19971212       0.0     1
19971213       0.0     1
19971214       0.0     1
19971215       0.0     1
19971216      19.8     1
19971217       0.3     1
19971218       0.0     1
19971219       0.0     1
19971220       0.0     1
19971221       0.0     1
19971222       0.0     1
19971223       0.0     1
19971224       1.0     1
19971225       0.0     1
19971226       0.0     1
19971227       0.0     1
19971228       0.0     1
19971229       0.0     1
19971230       0.0     1
19971231       0.0     1
19980101       0.0     1
19980102       0.0     1
19980103       0.0     1
19980104       0.0     1
19980105       0.0     1
19980106       0.0     1
19980107       0.0     1
19980108       4.0     1
19980109       9.9     1
19980110       0.2     1
19980111       0.0     1
19980112       4.6     1
19980113       0.0     1
19980114       0.0     1
19980115       0.0     1
19980116       0.0     1
19980117       0.0     1
19980118       0.0     1
19980119       0.0     1
19980120       0.0     1
19980121       0.0     1
19980122       0.2     1
19980123       1.0     1
19980124       0.0     1
19980125       0.0     1
19980126       0.0     1
19980127       0.0     1
19980128       0.0     1
19980129       0.0     1
19980130       0.0     1
19980131       0.0     1
19980201       0.0     1
19980202       0.0     1
19980203       0.6     1
19980204       2.0     1
19980205       0.0     1
19980206       0.0     1
19980207       0.0     1
19980208       0.0     1
19980209       0.0     1
19980210       0.0     1
19980211       0.0     1
19980212       0.0     1
19980213       0.0     1
19980214       0.0     1
19980215       0.0     1
19980216       0.0     1
19980217       0.0     1
19980218       0.0     1
19980219       0.0     1
19980220       0.1     1
19980221       0.0     1
19980222       0.0     1
19980223       0.0     1
19980224       0.0     1
19980225       0.0     1
19980226       0.0     1
19980227       0.0     1
19980228       0.0     1
19980301       0.0     1
19980302       0.0     1
19980303       0.0     1
19980304       0.0     1
19980305       0.0     1
19980306       4.4     1
19980307       0.0     1
19980308       0.0     1
19980309       3.7     1
19980310      13.5     1
19980311       0.6     1
19980312       0.0     1
19980313       0.0     1
19980314       0.0     1
19980315       0.0     1
19980316       5.3     1
19980317      25.6     1
19980318       0.0     1
19980319       0.0     1
19980320       0.0     1
19980321       0.0     1
19980322       0.0     1
19980323       0.0     1
19980324       0.0     1
19980325       0.0     1
19980326       0.0     1
19980327       0.0     1
19980328       0.0     1
19980329       0.0     1
19980330       2.0     1
19980331       0.0     1
19980401       0.0     1
19980402       0.0     1
19980403       0.0     1
19980404      36.0     1
19980405      39.1     1
19980406       0.0     1
19980407      20.0     1
19980408       0.0     1
19980409       0.0     1
19980410       0.0     1
19980411       0.0     1
19980412       0.0     1
19980413       0.0     1
19980414       0.0     1
19980415       0.0     1
19980416       0.0     1
19980417       0.0     1
19980418       0.0     1
19980419       0.0     1
19980420       2.9     1
19980421      32.0     1
19980422       6.5     1
19980423       0.0     1
19980424       0.0     1
19980425       4.0     1
19980426       0.0     1
19980427       0.0     1
19980428       0.0     1
19980429       0.0     1
19980430       0.4     1
19980501      10.2     1
19980502      28.5     1
19980503       0.0     1
19980504      57.0     1
19980505      81.5     1
19980506      58.0     1
19980507      29.5     1
19980508      24.5     1
19980509      10.4     1
19980510      18.5     1
19980511       5.5     1
19980512       0.3     1
19980513       0.2     1
19980514       0.0     1
19980515       0.0     1
19980516       0.0     1
19980517       0.0     1
19980518      31.2     1
19980519       0.0     1
19980520       0.0     1
19980521       0.0     1
19980522       0.0     1
19980523       0.0     1
19980524       0.0     1
19980525       0.0     1
19980526       0.0     1
19980527      31.7     1
19980528       0.0     1
19980529       0.0     1
19980530       0.0     1
19980531       0.0     1
19980601       8.8     1
19980602       0.0     1
19980603      58.4     1
19980604       5.0     1
19980605      34.7     1
19980606       7.6     1
19980607       0.0     1
19980608       0.0     1
19980609      27.0     1
19980610       0.0     1
19980611       0.0     1
19980612       0.0     1
19980613       0.0     1
19980614       7.2     1
19980615      64.2     1
19980616      14.1     1
19980617       0.0     1
19980618       4.1     1
19980619       5.5     1
19980620       0.0     1
19980621       0.0     1
19980622       0.0     1
19980623       0.0     1
19980624       0.0     1
19980625       0.0     1
19980626      24.8     1
19980627       0.0     1
19980628       0.0     1
19980629       0.0     1
19980630       0.0     1
19980701      24.0     1
19980702      12.0     1
19980703       6.1     1
19980704      16.5     1
19980705      12.0     1
19980706      34.1     1
19980707      16.5     1
19980708      13.5     1
19980709       1.0     1
19980710       0.0     1
19980711       0.0     1
19980712       0.0     1
19980713       0.0     1
19980714       2.5     1
19980715      74.5     1
19980716      28.5     1
19980717       0.0     1
19980718       0.0     1
19980719       0.9     1
19980720       3.0     1
19980721       0.0     1
19980722       0.0     1
19980723       0.0     1
19980724       0.0     1
19980725       0.0     1
19980726       0.0     1
19980727       7.5     1
19980728      18.0     1
19980729       0.0     1
19980730       0.0     1
19980731       0.0     1
19980801       0.0     1
19980802       1.2     1
19980803      23.5     1
19980804       1.0     1
19980805       0.3     1
19980806      12.3     1
19980807       0.0     1
19980808       0.0     1
19980809       0.0     1
19980810       0.0     1
19980811       0.0     1
19980812      14.2     1
19980813      20.4     1
19980814       9.4     1
19980815       0.0     1
19980816       0.0     1
19980817       0.0     1
19980818       0.0     1
19980819       0.0     1
19980820       4.5     1
19980821       0.4     1
19980822       8.0     1
19980823       0.0     1
19980824       0.0     1
19980825       0.0     1
19980826       0.0     1
19980827       0.0     1
19980828       0.0     1
19980829       0.0     1
19980830       0.0     1
19980831       0.0     1
19980901       0.0     1
19980902       5.6     1
19980903      54.0     1
19980904       3.4     1
19980905       0.0     1
19980906       0.0     1
19980907       0.0     1
19980908       0.0     1
19980909       0.0     1
19980910       0.0     1
19980911       0.0     1
19980912       0.0     1
19980913       0.0     1
19980914       0.0     1
19980915       0.0     1
19980916       0.0     1
19980917       0.0     1
19980918       0.0     1
19980919       0.0     1
19980920       9.0     1
19980921       0.3     1
19980922      43.0     1
19980923       5.6     1
19980924       9.5     1
19980925       2.0     1
19980926       0.5     1
19980927       6.5     1
19980928       0.0     1
19980929       0.0     1
19980930       0.0     1
19981001       2.0     1
19981002       0.0     1
19981003       0.0     1
19981004       0.0     1
19981005      31.5     1
19981006       0.6     1
19981007       0.0     1
19981008       0.0     1
19981009       0.0     1
19981010       0.0     1
19981011       0.0     1
19981012      16.8     1
19981013       0.0     1
19981014       0.0     1
19981015       0.0     1
19981016       0.0     1
19981017       0.0     1
19981018       0.0     1
19981019       0.0     1
19981020      13.5     1
19981021       0.0     1
19981022       0.0     1
19981023       0.0     1
19981024       0.0     1
19981025       0.0     1
19981026       0.0     1
19981027      25.5     1
19981028       4.8     1
19981029       0.0     1
19981030       0.0     1
19981031       0.0     1
19981101      42.5     1
19981102      25.0     1
19981103       0.0     1
19981104       2.6     1
19981105      21.5     1
19981106       1.5     1
19981107       0.0     1
19981108       0.0     1
19981109       0.0     1
19981110       0.0     1
19981111       0.0     1
19981112       0.0     1
19981113       0.0     1
19981114       2.0     1
19981115       0.0     1
19981116       0.0     1
19981117       0.0     1
19981118       0.0     1
19981119       0.0     1
19981120       0.0     1
19981121       0.0     1
19981122       0.0     1
19981123       0.2     1
19981124       0.4     1
19981125       0.0     1
19981126       0.0     1
19981127       0.0     1
19981128       0.0     1
19981129       0.0     1
19981130       0.0     1
19981201       0.0     1
19981202       0.0     1
19981203       0.0     1
19981204       4.0     1
19981205       0.7     1
19981206       1.7     1
19981207       1.0     1
19981208       0.0     1
19981209       0.0     1
19981210       0.0     1
19981211       0.0     1
19981212       0.0     1
19981213       0.0     1
19981214      28.1     1
19981215       0.8     1
19981216       0.0     1
19981217       0.0     1
19981218       0.0     1
19981219       2.0     1
19981220       0.0     1
19981221       5.0     1
19981222       0.0     1
19981223       0.0     1
19981224       0.0     1
19981225       6.5     1
19981226       0.0     1
19981227       0.0     1
19981228       0.0     1
19981229       0.0     1
19981230       0.0     1
19981231       0.0     1
19990101      22.9     1
19990102       0.0     1
19990103       0.0     1
19990104       0.0     1
19990105       0.0     1
19990106       0.0     1
19990107       0.0     1
19990108       0.0     1
19990109       0.0     1
19990110       3.0     1
19990111       1.0     1
19990112       0.0     1
19990113       0.0     1
19990114       0.3     1
19990115       0.0     1
19990116       0.0     1
19990117       0.0     1
19990118       0.0     1
19990119       0.0     1
19990120       0.0     1
19990121       0.0     1
19990122       0.0     1
19990123       0.0     1
19990124       0.0     1
19990125       0.0     1
19990126       0.0     1
19990127       0.0     1
19990128       0.0     1
19990129       0.0     1
19990130       0.0     1
19990131       0.0     1
19990201       0.0     1
19990202       0.0     1
19990203       0.0     1
19990204       0.0     1
19990205       0.0     1
19990206       0.0     1
19990207       0.0     1
19990208       0.0     1
19990209       0.0     1
19990210       0.0     1
19990211       0.0     1
19990212       0.0     1
19990213       0.0     1
19990214       0.0     1
19990215       0.0     1
19990216       0.0     1
19990217       0.0     1
19990218       0.0     1
19990219       0.0     1
19990220       0.0     1
19990221       0.0     1
19990222       0.0     1
19990223       0.0     1
19990224       0.0     1
19990225       0.0     1
19990226       6.5     1
19990227       0.0     1
19990228       1.0     1
19990301       0.0     1
19990302       0.0     1
19990303       0.0     1
19990304       0.0     1
19990305       0.0     1
19990306       0.0     1
19990307       0.0     1
19990308       0.0     1
19990309       0.0     1
19990310       1.5     1
19990311       0.0     1
19990312       0.0     1
19990313       0.0     1
19990314       0.0     1
19990315       0.0     1
19990316       0.0     1
19990317       0.0     1
19990318       0.0     1
19990319       0.0     1
19990320       0.0     1
19990321       0.0     1
19990322       2.0     1
19990323       0.0     1
19990324       0.0     1
19990325       0.0     1
19990326       0.0     1
19990327       0.0     1
19990328       0.0     1
19990329       0.0     1
19990330       0.0     1
19990331       0.0     1
19990401       0.0     1
19990402       0.0     1
19990403       0.0     1
19990404       0.0     1
19990405       0.0     1
19990406       0.0     1
19990407       0.0     1
19990408       0.0     1
19990409       0.0     1
19990410       0.0     1
19990411       0.0     1
19990412       0.0     1
19990413       0.0     1
19990414       0.0     1
19990415      16.6     1
19990416       0.0     1
19990417       0.5     1
19990418      35.0     1
19990419      18.0     1
19990420      30.5     1
19990421       0.6     1
19990422       0.0     1
19990423       1.0     1
19990424       0.0     1
19990425       0.0     1
19990426       0.0     1
19990427       0.0     1
19990428       0.0     1
19990429       0.0     1
19990430       0.0     1
19990501      15.0     1
19990502       4.0     1
19990503      32.5     1
19990504       0.0     1
19990505       0.0     1
19990506       0.0     1
19990507       0.0     1
19990508       0.0     1
19990509       0.0     1
19990510       0.0     1
19990511       0.0     1
19990512       0.0     1
19990513       0.0     1
19990514       1.5     1
19990515       0.0     1
19990516       0.0     1
19990517       0.0     1
19990518       0.0     1
19990519       0.0     1
19990520       0.0     1
19990521       0.0     1
19990522      30.6     1
19990523       6.1     1
19990524       0.0     1
19990525       1.6     1
19990526      37.0     1
19990527      13.4     1
19990528       0.0     1
19990529       2.0     1
19990530       0.0     1
19990531       0.0     1
19990601       0.0     1
19990602       0.0     1
19990603       0.0     1
19990604       0.0     1
19990605       0.0     1
19990606       0.0     1
19990607       0.0     1
19990608       0.0     1
19990609       0.0     1
19990610      12.5     1
19990611       0.0     1
19990612       0.0     1
19990613       2.5     1
19990614      28.5     1
19990615       0.0     1
19990616       0.0     1
19990617      14.0     1
19990618      39.5     1
19990619       0.0     1
19990620       0.6     1
19990621      63.8     1
19990622       0.0     1
19990623      41.8     1
19990624       2.7     1
19990625       0.0     1
19990626       0.0     1
19990627       0.0     1
19990628       0.0     1
19990629      30.7     1
19990630      16.8     1
19990701      66.6     1
19990702       0.0     1
19990703       0.0     1
19990704       0.0     1
19990705       0.0     1
19990706       0.0     1
19990707       0.0     1
19990708       0.0     1
19990709       2.0     1
19990710       0.0     1
19990711       0.0     1
19990712      12.0     1
19990713       5.0     1
19990714       8.5     1
19990715      51.0     1
19990716      30.5     1
19990717      13.5     1
19990718       0.0     1
19990719       0.0     1
19990720       0.0     1
19990721       0.0     1
19990722      24.5     1
19990723       0.0     1
19990724       0.0     1
19990725       5.1     1
19990726       0.0     1
19990727       0.0     1
19990728       0.0     1
19990729       0.0     1
19990730       0.0     1
19990731       0.0     1
19990801      43.0     1
19990802      45.0     1
19990803      24.1     1
19990804      11.1     1
19990805       0.0     1
19990806       0.0     1
19990807      48.0     1
19990808       5.0     1
19990809      10.0     1
19990810       0.0     1
19990811       0.0     1
19990812       0.0     1
19990813       1.5     1
19990814       0.0     1
19990815       0.0     1
19990816       0.0     1
19990817       0.0     1
19990818       0.0     1
19990819       0.0     1
19990820       0.0     1
19990821       0.1     1
19990822       9.5     1
19990823       5.6     1
19990824       0.0     1
19990825       0.0     1
19990826       0.0     1
19990827       0.0     1
19990828      62.0     1
19990829      43.0     1
19990830       2.0     1
19990831       1.0     1
19990901       0.0     1
19990902       0.0     1
19990903       1.0     1
19990904       0.0     1
19990905       0.0     1
19990906       0.0     1
19990907       0.0     1
19990908      62.5     1
19990909      34.0     1
19990910      39.0     1
19990911      54.0     1
19990912       0.0     1
19990913       0.0     1
19990914       0.0     1
19990915       0.0     1
19990916      23.5     1
19990917       1.5     1
19990918       0.0     1
19990919       0.0     1
19990920       0.1     1
19990921       0.0     1
19990922       0.0     1
19990923       0.0     1
19990924      19.2     1
19990925      21.5     1
19990926       6.0     1
19990927       0.0     1
19990928       0.0     1
19990929       0.0     1
19990930       0.0     1
19991001       0.0     1
19991002       0.0     1
19991003       0.0     1
19991004       0.0     1
19991005       0.0     1
19991006       0.0     1
19991007       0.0     1
19991008       0.0     1
19991009       0.0     1
19991010       1.5     1
19991011       0.0     1
19991012       0.0     1
19991013       0.0     1
19991014       0.0     1
19991015       5.5     1
19991016       0.0     1
19991017       0.0     1
19991018       0.0     1
19991019       0.0     1
19991020       0.0     1
19991021       0.0     1
19991022       0.0     1
19991023       0.0     1
19991024       0.0     1
19991025       0.0     1
19991026       0.0     1
19991027       0.0     1
19991028       0.0     1
19991029       0.0     1
19991030       0.0     1
19991031       0.0     1
19991101       0.0     1
19991102       0.0     1
19991103       5.5     1
19991104       0.0     1
19991105       0.0     1
19991106       0.0     1
19991107       4.0     1
19991108       0.0     1
19991109       0.0     1
19991110       0.0     1
19991111       0.0     1
19991112       0.0     1
19991113       0.0     1
19991114       0.0     1
19991115       0.0     1
19991116       0.0     1
19991117      39.0     1
19991118       6.5     1
19991119       2.6     1
19991120       0.0     1
19991121       0.0     1
19991122       1.0     1
19991123       0.0     1
19991124       0.0     1
19991125      13.0     1
19991126       7.0     1
19991127       0.0     1
19991128       0.0     1
19991129       0.0     1
19991130       0.0     1
19991201       0.0     1
19991202       0.0     1
19991203       0.0     1
19991204       0.0     1
19991205       0.0     1
19991206       0.0     1
19991207       0.0     1
19991208       0.0     1
19991209       0.0     1
19991210       0.0     1
19991211       0.0     1
19991212       0.0     1
19991213       0.0     1
19991214       0.0     1
19991215       0.0     1
19991216       0.0     1
19991217       0.0     1
19991218       0.0     1
19991219       0.0     1
19991220       2.0     1
19991221       1.8     1
19991222       0.0     1
19991223       0.0     1
19991224       0.0     1
19991225       0.0     1
19991226       0.0     1
19991227       0.0     1
19991228       0.0     1
19991229       0.0     1
19991230       2.0     1
19991231       0.0     1
20000101       0.0     1
20000102       0.0     1
20000103       0.0     1
20000104       0.0     1
20000105       0.0     1
20000106       0.0     1
20000107      10.5     1
20000108       0.0     1
20000109       0.0     1
20000110       0.0     1
20000111       8.5     1
20000112       0.0     1
20000113       0.0     1
20000114       0.0     1
20000115       0.0     1
20000116       0.0     1
20000117       0.0     1
20000118       0.0     1
20000119       0.0     1
20000120       0.0     1
20000121       0.0     1
20000122       0.0     1
20000123       0.0     1
20000124       0.0     1
20000125       0.0     1
20000126       0.0     1
20000127       2.5     1
20000128       0.0     1
20000129       0.0     1
20000130      42.7     1
20000131       0.0     1
20000201       0.0     1
20000202       0.0     1
20000203       0.0     1
20000204       0.0     1
20000205       0.0     1
20000206       0.0     1
20000207       0.0     1
20000208       0.0     1
20000209       0.0     1
20000210       0.0     1
20000211       0.0     1
20000212       0.0     1
20000213       0.0     1
20000214       0.0     1
20000215       0.0     1
20000216       0.0     1
20000217       0.0     1
20000218       0.0     1
20000219       0.0     1
20000220       0.0     1
20000221       0.0     1
20000222       0.0     1
20000223       0.0     1
20000224       0.0     1
20000225       0.0     1
20000226       0.0     1
20000227       0.0     1
20000228       0.0     1
20000229       0.0     1
20000301       0.0     1
20000302       5.6     1
20000303       0.0     1
20000304       0.0     1
20000305       0.0     1
20000306       3.0     1
20000307       0.0     1
20000308       0.0     1
20000309       0.0     1
20000310       0.0     1
20000311       0.0     1
20000312       0.0     1
20000313       0.0     1
20000314       0.0     1
20000315       0.0     1
20000316       0.0     1
20000317       0.0     1
20000318       0.0     1
20000319       0.0     1
20000320       0.0     1
20000321       0.0     1
20000322       0.0     1
20000323       0.0     1
20000324       0.0     1
20000325       0.0     1
20000326       0.0     1
20000327       0.0     1
20000328       0.0     1
20000329       0.0     1
20000330       0.0     1
20000331       0.0     1
20000401       0.0     1
20000402       0.0     1
20000403       3.5     1
20000404       0.0     1
20000405       0.0     1
20000406       0.0     1
20000407       0.0     1
20000408       0.0     1
20000409       0.0     1
20000410       0.0     1
20000411       0.0     1
20000412       0.0     1
20000413       0.0     1
20000414       0.0     1
20000415       0.0     1
20000416       0.0     1
20000417       0.0     1
20000418       0.0     1
20000419       0.0     1
20000420       0.0     1
20000421       0.0     1
20000422      32.0     1
20000423       5.0     1
20000424       0.0     1
20000425       5.0     1
20000426       0.0     1
20000427       0.0     1
20000428       0.0     1
20000429       0.0     1
20000430       0.0     1
20000501       1.0     1
20000502       1.0     1
20000503       0.0     1
20000504       0.0     1
20000505       0.0     1
20000506       0.0     1
20000507       0.0     1
20000508       0.0     1
20000509       0.0     1
20000510       0.0     1
20000511       0.0     1
20000512       0.0     1
20000513       0.0     1
20000514       0.0     1
20000515       0.0     1
20000516       0.0     1
20000517       0.0     1
20000518       0.0     1
20000519       0.0     1
20000520       1.3     1
20000521       0.0     1
20000522       2.7     1
20000523       0.4     1
20000524       0.0     1
20000525      25.3     1
20000526      22.0     1
20000527       2.5     1
20000528      29.5     1
20000529     104.0     1
20000530      53.5     1
20000531      25.0     1
20000601      29.0     1
20000602      10.5     1
20000603       0.0     1
20000604       0.0     1
20000605       0.0     1
20000606       0.0     1
20000607       0.0     1
20000608       0.0     1
20000609       2.5     1
20000610      48.0     1
20000611       2.5     1
20000612       0.4     1
20000613       0.2     1
20000614      59.0     1
20000615       0.3     1
20000616       5.6     1
20000617      14.0     1
20000618       4.2     1
20000619       0.0     1
20000620       0.0     1
20000621      28.2     1
20000622       4.3     1
20000623       3.0     1
20000624       0.0     1
20000625       0.0     1
20000626       0.0     1
20000627       0.0     1
20000628       0.0     1
20000629       0.0     1
20000630       0.0     1
20000701       0.0     1
20000702       0.0     1
20000703       0.0     1
20000704       0.0     1
20000705       0.0     1
20000706       0.0     1
20000707       0.0     1
20000708       0.0     1
20000709      39.0     1
20000710       5.9     1
20000711       0.0     1
20000712       0.0     1
20000713      10.0     1
20000714      44.0     1
20000715      13.0     1
20000716       0.0     1
20000717      12.5     1
20000718      28.0     1
20000719      22.5     1
20000720       2.5     1
20000721       0.0     1
20000722       0.0     1
20000723       0.0     1
20000724       0.0     1
20000725       0.0     1
20000726       0.0     1
20000727       0.0     1
20000728       0.0     1
20000729       0.0     1
20000730       0.0     1
20000731       0.0     1
20000801       7.0     1
20000802      46.0     1
20000803      56.7     1
20000804      37.0     1
20000805       0.0     1
20000806       0.0     1
20000807       0.0     1
20000808       0.0     1
20000809       0.0     1
20000810       1.0     1
20000811       0.0     1
20000812       0.0     1
20000813       0.0     1
20000814       0.0     1
20000815       0.0     1
20000816       0.0     1
20000817       0.0     1
20000818       0.0     1
20000819       0.0     1
20000820       1.5     1
20000821       3.0     1
20000822       0.0     1
20000823       0.0     1
20000824       0.0     1
20000825       0.0     1
20000826       0.0     1
20000827       0.0     1
20000828       0.0     1
20000829      27.0     1
20000830       4.0     1
20000831      27.0     1
20000901       8.0     1
20000902      58.5     1
20000903       7.5     1
20000904      13.0     1
20000905       5.0     1
20000906      48.0     1
20000907       0.0     1
20000908       0.0     1
20000909      23.0     1
20000910       7.0     1
20000911       0.0     1
20000912      21.0     1
20000913      13.5     1
20000914       3.5     1
20000915       0.0     1
20000916      38.0     1
20000917       5.0     1
20000918       0.0     1
20000919       0.0     1
20000920       0.0     1
20000921       0.0     1
20000922       0.0     1
20000923      33.0     1
20000924       2.6     1
20000925      15.5     1
20000926       0.0     1
20000927       0.0     1
20000928       0.0     1
20000929       0.0     1
20000930       7.5     1
20001001       2.0     1
20001002       0.0     1
20001003       0.5     1
20001004       0.0     1
20001005       0.0     1
20001006       0.0     1
20001007       0.0     1
20001008       0.0     1
20001009      26.0     1
20001010       0.0     1
20001011       0.0     1
20001012       0.0     1
20001013       0.0     1
20001014       0.0     1
